Start (s),End (s),scientific_name,common_name,Confidence,File,lat,lon
42.0,45.0,Erithacus rubecula,European Robin,0.3000,/Users/clarence/camera_trap/acoustic_data/Project Acoustic Data/DawnChorus_9Oct/2MM06423_20251009_080500.wav,51.407777,-0.646617
45.0,48.0,Erithacus rubecula,European Robin,0.9607,/Users/clarence/camera_trap/acoustic_data/Project Acoustic Data/DawnChorus_9Oct/2MM06423_20251009_080500.wav,51.407777,-0.646617
48.0,51.0,Erithacus rubecula,European Robin,0.9145,/Users/clarence/camera_trap/acoustic_data/Project Acoustic Data/DawnChorus_9Oct/2MM06423_20251009_080500.wav,51.407777,-0.646617
51.0,54.0,Erithacus rubecula,European Robin,0.8453,/Users/clarence/camera_trap/acoustic_data/Project Acoustic Data/DawnChorus_9Oct/2MM06423_20251009_080500.wav,51.407777,-0.646617
54.0,57.0,Erithacus rubecula,European Robin,0.9945,/Users/clarence/camera_trap/acoustic_data/Project Acoustic Data/DawnChorus_9Oct/2MM06423_20251009_080500.wav,51.407777,-0.646617
57.0,60.0,Erithacus rubecula,European Robin,0.5836,/Users/clarence/camera_trap/acoustic_data/Project Acoustic Data/DawnChorus_9Oct/2MM06423_20251009_080500.wav,51.407777,-0.646617
0.0,3.0,Erithacus rubecula,European Robin,0.3403,/Users/clarence/camera_trap/acoustic_data/Project Acoustic Data/DawnChorus_9Oct/2MM06423_20251009_081000.wav,51.407777,-0.646617
3.0,6.0,Erithacus rubecula,European Robin,0.4606,/Users/clarence/camera_trap/acoustic_data/Project Acoustic Data/DawnChorus_9Oct/2MM06423_20251009_081000.wav,51.407777,-0.646617
27.0,30.0,Dendrocopos major,Great Spotted Woodpecker,0.2670,/Users/clarence/camera_trap/acoustic_data/Project Acoustic Data/DawnChorus_9Oct/2MM06423_20251009_081000.wav,51.407777,-0.646617
39.0,42.0,Erithacus rubecula,European Robin,0.2832,/Users/clarence/camera_trap/acoustic_data/Project Acoustic Data/DawnChorus_9Oct/2MM06423_20251009_081000.wav,51.407777,-0.646617
0.0,3.0,Corvus monedula,Eurasian Jackdaw,0.4357,/Users/clarence/camera_trap/acoustic_data/Project Acoustic Data/DawnChorus_9Oct/2MM06423_20251009_082000.wav,51.407777,-0.646617
3.0,6.0,Corvus monedula,Eurasian Jackdaw,0.4526,/Users/clarence/camera_trap/acoustic_data/Project Acoustic Data/DawnChorus_9Oct/2MM06423_20251009_082000.wav,51.407777,-0.646617
6.0,9.0,Corvus corone,Carrion Crow,0.3925,/Users/clarence/camera_trap/acoustic_data/Project Acoustic Data/DawnChorus_9Oct/2MM06423_20251009_082000.wav,51.407777,-0.646617
6.0,9.0,Corvus cornix,Hooded Crow,0.2886,/Users/clarence/camera_trap/acoustic_data/Project Acoustic Data/DawnChorus_9Oct/2MM06423_20251009_082000.wav,51.407777,-0.646617
12.0,15.0,Troglodytes troglodytes,Eurasian Wren,0.4178,/Users/clarence/camera_trap/acoustic_data/Project Acoustic Data/DawnChorus_9Oct/2MM06423_20251009_082000.wav,51.407777,-0.646617
18.0,21.0,Corvus monedula,Eurasian Jackdaw,0.3824,/Users/clarence/camera_trap/acoustic_data/Project Acoustic Data/DawnChorus_9Oct/2MM06423_20251009_082000.wav,51.407777,-0.646617
24.0,27.0,Corvus corone,Carrion Crow,0.3171,/Users/clarence/camera_trap/acoustic_data/Project Acoustic Data/DawnChorus_9Oct/2MM06423_20251009_082000.wav,51.407777,-0.646617
